theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,theta16,theta17,theta18,theta19,costs1,costs2,effects1,effects2
999.2501146854,0.1202386746,6.9266370916,477.9686472823,0.6940042399,0.2855713435,3.06155399,0.233702096,-0.1016229449,0.7065177802,1501.1888911146,0.0472059091,7.2202104682,0.7000883665,0.3750546628,2.3625498532,0.1455131514,-0.101174957,0.6401758578,1397.3261417034,1664.0980992298,0.5899829739,0.6109131846
999.2619452648,0.0768034614,4.2421773819,275.7518838916,0.677423699,0.18014927,3.2562164415,0.31477969,-0.1109188307,0.4945298003,1498.5720007196,0.1065958746,5.4445028921,0.7775638155,0.3927523565,3.232210291,0.1199776614,-0.1146374726,0.8840698937,1089.1057439203,1658.6077908266,0.3801136335,0.9749253277
999.9108282626,0.0948250727,2.8230415634,-42.9399774355,0.8459014538,0.3007236847,3.6229319461,0.3714660355,-0.0795292019,0.6610759801,1499.992539165,0.0884560169,7.3705588418,0.8820510975,0.3561234758,3.5235208685,0.2008736531,-0.0765847338,0.6008990561,988.4160057855,1471.9969501763,0.9020810863,1.0975610693
998.6285167707,0.1334424187,4.6628672532,624.9861836286,0.6434418197,0.4527942223,2.980249308,0.2989713389,-0.1080679028,0.6672625868,1499.5983641799,0.073705115,6.9583377748,0.6600012958,0.2605741443,3.8228629963,0.1297250549,-0.1041334229,0.455704173,1387.5100976504,1820.1319570341,0.8467271913,0.6512972211
998.9139024492,0.0792623437,5.0395578889,391.013278197,0.7014065448,0.3660861006,3.5864688898,0.1016788322,-0.0974364466,0.0998876258,1500.9702919667,0.0980642869,5.7812498524,0.7367733492,0.1770864141,3.1012748402,0.2084548881,-0.091422272,0.2782926713,1155.1030495649,1722.6490702506,0.9199266105,0.3993276978
999.3162914879,0.1256451455,4.953528629,396.7619473802,0.6473980863,0.3022687848,2.387321463,0.2228035615,-0.1132666214,0.6270946721,1501.3741503137,0.0921108804,6.4288982007,0.8054821926,0.2799879736,2.8673119418,0.2056918763,-0.0946897392,0.6010382793,1246.2557003417,1736.325257135,0.4513452276,0.6349450945
998.481140813,0.1001556366,5.0011203886,588.7672421371,0.6906488993,0.1648048358,1.7238758309,0.3000909558,-0.0912527528,0.2995700664,1499.3932969746,0.0534811436,5.911887714,0.6257378932,0.2931007903,1.5862882251,0.0805484761,-0.0847256235,0.5462481203,1293.3889981224,1685.5464947441,0.1880120104,0.2872041544
999.709330964,0.0915262863,3.5304920425,564.2442390196,0.5153471834,0.1551385913,2.4670340973,0.2811323276,-0.0894058677,0.5416061468,1498.8742977161,0.0455670427,5.1318952377,0.670515469,0.2938664691,2.2060568617,0.1242827668,-0.098126785,0.0919350156,1182.0351661696,1630.8201551018,0.1836267531,0.4335646951
1000.2496198248,0.0982674107,8.9155590861,518.7802642435,0.6811879879,0.1573366445,3.6287013344,0.3841506007,-0.1296421921,0.4578988935,1498.9696665384,0.1136263613,6.702183405,0.9110911059,0.3900440443,3.9128617867,0.0787021445,-0.0901116626,0.8959534066,1454.7576297657,1894.0440339971,0.3661047473,1.3841426254
1001.4993412574,0.1013006224,4.2032059609,583.7954743216,0.6941660939,0.2515530779,2.8936593417,0.1710010673,-0.0921048353,0.5148993376,1499.3982919597,0.050310777,6.9207510921,0.8488787541,0.3115087446,2.6421492798,0.2632629037,-0.0789795761,1.0496899,1250.072086664,1702.669083751,0.4971800098,0.6768463056
1000.4371231734,0.0931585896,2.659890784,556.4272601462,0.6410589286,0.3902392995,2.8525452988,0.2164536195,-0.0776001955,0.2308601378,1498.5473535763,0.1074432818,6.8981285091,0.7525313007,0.3455681102,2.1725095701,0.1793967846,-0.0840461037,0.1714417842,1138.3151653798,1910.9476269457,0.7097332302,0.5623779631
999.09791367,0.0859673057,3.3261125751,414.912996673,0.6460698793,0.3119028385,3.015874426,0.1333013487,-0.1024408921,0.3925311429,1498.7933774407,0.0745715574,5.5277898132,0.6232204762,0.281172838,2.3376643282,0.1920784483,-0.1027087104,0.5322431155,1117.7368648533,1669.8271097948,0.602371747,0.3991350006
1000.0172189473,0.1248471371,6.266878485,2.1296608273,0.5666332371,0.1345063682,1.7812471919,0.2616597044,-0.1119492472,0.4353031702,1499.2659049576,0.0773479239,6.6368332127,0.7731750968,0.1802809269,0.510227586,0.2102470353,-0.0878582491,0.8838013512,1001.683469492,1500.3591562704,0.1230079774,0.0547944494
