Iteration	M	a	b	e	h	
308	37180.0	0.1047	0.01072	5.708E-4	0.2348	
309	55020.0	0.1053	0.00668	4.764E-4	0.3018	
310	44220.0	0.1059	0.009052	4.959E-4	0.37	
311	11240.0	0.1053	0.01721	5.2E-4	0.3157	
312	59150.0	0.107	0.01022	4.974E-4	0.2966	
313	6.0E+4	0.1029	0.008584	4.834E-4	0.4259	
314	59980.0	0.1031	0.008905	4.187E-4	0.6257	
315	56830.0	0.1043	0.0103	4.639E-4	0.3976	
316	57170.0	0.107	0.008684	4.976E-4	0.3456	
317	47370.0	0.1077	0.008245	5.096E-4	0.467	
318	46430.0	0.1051	0.01197	5.161E-4	0.5974	
319	59750.0	0.1054	0.0113	3.574E-4	0.6059	
320	5159.0	0.1052	0.01098	3.935E-4	0.4471	
321	51450.0	0.1068	0.006981	4.384E-4	0.3927	
322	44050.0	0.1047	0.007519	5.514E-4	0.3647	
323	49860.0	0.1058	0.008764	4.724E-4	0.4018	
324	55630.0	0.1053	0.01025	4.828E-4	0.4818	
325	48870.0	0.1074	0.00966	5.074E-4	0.315	
326	52610.0	0.1059	0.009945	4.483E-4	0.3624	
327	58400.0	0.1062	0.005989	5.177E-4	0.5138	
328	37810.0	0.1059	0.007229	4.136E-4	0.5093	
329	48310.0	0.1043	0.00857	5.221E-4	0.4455	
330	29130.0	0.1086	0.009421	4.601E-4	0.3396	
331	59410.0	0.1084	0.01127	5.112E-4	0.3194	
332	59360.0	0.1074	0.005749	5.039E-4	0.5203	
333	34860.0	0.1051	0.006383	4.73E-4	0.3507	
334	46230.0	0.106	0.006537	4.693E-4	0.2916	
335	52880.0	0.1059	0.005126	5.683E-4	0.4186	
336	50420.0	0.1053	0.006489	5.124E-4	0.4105	
337	58920.0	0.1059	0.00641	5.357E-4	0.4634	
338	56370.0	0.1064	0.01057	4.937E-4	0.5344	
339	45950.0	0.1054	0.01027	4.371E-4	0.3669	
340	54910.0	0.1056	0.008987	4.647E-4	0.3709	
341	57760.0	0.1058	0.01241	5.674E-4	0.3589	
342	39570.0	0.1052	0.01083	3.89E-4	0.4421	
343	59950.0	0.1073	0.007861	4.355E-4	0.2981	
344	58580.0	0.1042	0.008031	4.398E-4	0.2822	
345	56650.0	0.104	0.01024	5.381E-4	0.3529	
346	55840.0	0.1066	0.01109	4.986E-4	0.3478	
347	38630.0	0.1073	0.0105	4.13E-4	0.3633	
348	59630.0	0.1081	0.01026	6.205E-4	0.3049	
349	57720.0	0.103	0.01186	6.157E-4	0.2773	
350	58090.0	0.1044	0.01186	5.836E-4	0.3158	
351	56580.0	0.1063	0.01078	4.826E-4	0.4195	
352	27080.0	0.1055	0.006291	4.719E-4	0.4118	
353	56430.0	0.106	0.005654	4.61E-4	0.3371	
